buy,1.0056315119151744,NVTA,49.720001220703125,3.3510161948137807,02/08/2021,09:15:38
buy,0.3428649754659225,QCOM,145.8300018310547,3.441056084179195,02/08/2021,09:15:38
buy,0.3989467746709219,U,125.33000183105469,5.3076774948785035,02/08/2021,14:31:56
sell,1.0056315119151744,NVTA,51.52000045776367,49.720001220703125,3.3510161948137807,-3.0278152092494635,02/08/2021,17:53:37
buy,0.19723320955095558,APD,253.5070037841797,3.0004839638503924,02/09/2021,18:54:15
buy,5.122950699533774,FTI,9.760000228881836,5.224319313661617,02/09/2021,18:54:15
buy,0.551632836900816,HAS,90.63999938964844,3.559791553474924,02/09/2021,21:56:06
buy,0.06241418240392429,ORSTED.CO,801.0999755859375,5.133287241883779,04/18/2022,19:56:03
buy,1.5267175572519085,AY,32.75,4.311478367618035,04/18/2022,19:56:03
buy,0.6638783559610069,NEP,75.31500244140625,3.0330758816675942,04/18/2022,19:56:03
buy,2.0358306631616805,RUN,24.559999465942383,5.180004207140613,04/18/2022,19:56:03
buy,7.919746344794041,NOVA,18.940000534057617,10.075753350532652,04/18/2022,19:56:03
buy,4.045307555731887,TPIC,12.359999656677246,5.88453035015737,04/18/2022,19:56:03
